wavelength (nm) ,irradiance (w m-2 nm-2)
897,6.21E-18
898,4.76E-18
899,2.58E-18
900,2.49E-18
901,1.44E-18
902,1.16E-18
903,8.60E-19
904,7.59E-19
905,5.29E-19
906,3.61E-19
907,1.08E-19
908,4.01E-20
909,1.57E-20
910,5.07E-21
911,8.41E-22
912,1.35E-22
913,1.90E-23
914,2.95E-24
915,4.38E-25
916,5.12E-26
917,8.90E-27
918,9.92E-28
919,1.70E-28
920,2.35E-29
921,8.01E-31
922,2.34E-32
923,8.09E-34
924,2.55E-35
925,8.17E-37
926,2.64E-39
927,9.64E-42
928,2.36E-44
929,7.19E-47
930,4.11E-49
931,2.84E-51
932,1.52E-53
933,9.15E-56
934,3.86E-58
935,4.91E-60
936,9.35E-63
937,2.80E-65
938,1.02E-67
939,5.98E-70
940,2.09E-72
941,1.47E-75
942,1.43E-78
943,8.74E-82
944,8.00E-85
945,2.38E-86
946,2.90E-88
947,1.28E-89
948,2.18E-91
949,9.04E-93
950,6.22E-95
951,4.71E-96
952,2.93E-98
953,4.20E-100
954,5.81E-102
955,5.23E-104
956,3.05E-105
957,1.52E-106
958,1.57E-107
959,7.73E-109
960,3.69E-109
961,1.72E-109
962,7.00E-110
963,3.40E-110
964,1.31E-110
965,6.12E-111
966,2.59E-111
967,1.88E-111
968,1.77E-111
969,1.35E-111
970,9.04E-112
971,7.38E-112
972,1.41E-111
973,2.48E-111
974,4.69E-111
975,9.56E-111
976,2.84E-110
977,9.69E-110
978,2.86E-109
979,9.06E-109
980,2.63E-108
981,1.77E-107
982,9.81E-107
983,5.41E-106
984,3.41E-105
985,9.30E-105
986,2.97E-104
987,8.55E-104
988,2.48E-103
989,7.41E-103
990,2.12E-102
991,6.37E-102
992,7.12E-101
993,7.84E-100
994,8.99E-99
995,1.00E-97
996,7.71E-97
997,5.87E-96
998,4.52E-95
999,3.48E-94
1000,2.67E-93
1001,3.71E-92
1002,4.98E-91
1003,6.91E-90
1004,9.34E-89
1005,1.21E-87
1006,1.74E-86
1007,2.44E-85
1008,3.34E-84
1009,4.55E-83
1010,3.74E-82
1011,3.09E-81
1012,2.53E-80
1013,2.08E-79
1014,1.72E-78
1015,1.39E-77
1016,1.15E-76
1017,9.36E-76
1018,7.82E-75
1019,6.21E-74
1020,5.18E-73
1021,4.28E-72
1022,7.02E-71
1023,1.18E-69
1024,1.96E-68
1025,3.30E-67
1026,5.49E-66
1027,9.11E-65
1028,1.52E-63
1029,2.51E-62
1030,4.21E-61
1031,3.90E-60
1032,3.63E-59
1033,3.32E-58
1034,3.11E-57
1035,2.90E-56
1036,2.69E-55
1037,2.48E-54
1038,2.29E-53
1039,2.15E-52
1040,1.98E-51
1041,1.35E-50
1042,9.23E-50
1043,6.23E-49
1044,4.27E-48
1045,2.89E-47
1046,1.92E-46
1047,1.33E-45
1048,9.14E-45
1049,6.20E-44
1050,4.20E-43
